"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        check_container:
        Returns True when a test container (with name ""test_container"") is running.
        ","1","test_check_container_test_running","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestCheckContainer","test_miner_container","",""
"
        kill_container:
        Removes a regular container that is not running.
        ","2","test_kill_container_regular_not_running","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestKillContainer","test_miner_container","",""
"
        pause_container:
        Pauses the container when the allocation key is valid.
        ","1","test_pause_container_success","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestPauseContainer","test_miner_container","",""
"
        pause_container:
        Returns False when the provided allocation key does not match.
        ","1","test_pause_container_key_mismatch","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestPauseContainer","test_miner_container","",""
"
        kill_container:
        Removes a test container that is not running.
        ","2","test_kill_container_test_not_running","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestKillContainer","test_miner_container","",""
"
        unpause_container:
        Returns False when no container with the expected name is found.
        ","1","test_unpause_container_not_found","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestUnpauseContainer","test_miner_container","",""
"
        pause_container:
        Returns False if no allocation key is retrieved.
        ","1","test_pause_container_no_allocation_key","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestPauseContainer","test_miner_container","",""
"
        kill_container:
        Does nothing if no matching container is found.
        ","2","test_kill_container_not_found","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestKillContainer","test_miner_container","",""
"
    Test decryption security with mismatched keys.
    
    Verifies that:
    - Attempting to decrypt a message with the wrong private key raises an exception
    - The encryption system properly enforces key pair matching
    ","131","test_decrypt_with_wrong_key","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:42 GMT 2025","","test_rsa_encryption","",""
"
        get_docker:
        Initializes the Docker client and lists containers successfully.
        ","1","test_get_docker_success","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestGetDocker","test_miner_container","",""
"
        kill_container:
        Prioritizes killing the test container over the regular container.
        ","3","test_kill_container_priority","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestKillContainer","test_miner_container","",""
"
        get_docker:
        Raises an exception if Docker client initialization fails.
        ","1","test_get_docker_exception","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestGetDocker","test_miner_container","",""
